|theta	|radius	|x	|y	|
|    204|1.000000000|-0.913545458|-0.406736643|
|    206|1.000000000|-0.898794046|-0.438371147|
|    208|1.000000000|-0.882947593|-0.469471563|
|    210|1.000000000|-0.866025404|-0.500000000|
|    212|1.000000000|-0.848048096|-0.529919264|
|    214|1.000000000|-0.829037573|-0.559192903|
|    216|1.000000000|-0.809016994|-0.587785252|
|    218|1.000000000|-0.788010754|-0.615661475|
|    220|1.000000000|-0.766044443|-0.642787610|
|    222|1.000000000|-0.743144825|-0.669130606|
|    224|1.000000000|-0.719339800|-0.694658370|
|    226|1.000000000|-0.694658370|-0.719339800|
|    228|1.000000000|-0.669130606|-0.743144825|
|    230|1.000000000|-0.642787610|-0.766044443|
|    232|1.000000000|-0.615661475|-0.788010754|
|    234|1.000000000|-0.587785252|-0.809016994|
|    236|1.000000000|-0.559192903|-0.829037573|
|    238|1.000000000|-0.529919264|-0.848048096|
|    240|1.000000000|-0.500000000|-0.866025404|
|    242|1.000000000|-0.469471563|-0.882947593|
|    244|1.000000000|-0.438371147|-0.898794046|
|    246|1.000000000|-0.406736643|-0.913545458|
|    248|1.000000000|-0.374606593|-0.927183855|
|    250|1.000000000|-0.342020143|-0.939692621|
|    252|1.000000000|-0.309016994|-0.951056516|
|    254|1.000000000|-0.275637356|-0.961261696|
|    256|1.000000000|-0.241921896|-0.970295726|
|    258|1.000000000|-0.207911691|-0.978147601|
|    260|1.000000000|-0.173648178|-0.984807753|
|    262|1.000000000|-0.139173101|-0.990268069|
|    264|1.000000000|-0.104528463|-0.994521895|
|    266|1.000000000|-0.069756474|-0.997564050|
|    268|1.000000000|-0.034899497|-0.999390827|
|    270|1.000000000|-0.000000000|-1.000000000|
|    272|1.000000000|0.034899497|-0.999390827|
|    274|1.000000000|0.069756474|-0.997564050|
|    276|1.000000000|0.104528463|-0.994521895|
|    278|1.000000000|0.139173101|-0.990268069|
|    280|1.000000000|0.173648178|-0.984807753|
|    282|1.000000000|0.207911691|-0.978147601|
|    284|1.000000000|0.241921896|-0.970295726|
|    286|1.000000000|0.275637356|-0.961261696|
|    288|1.000000000|0.309016994|-0.951056516|
|    290|1.000000000|0.342020143|-0.939692621|
|    292|1.000000000|0.374606593|-0.927183855|
|    294|1.000000000|0.406736643|-0.913545458|
|    296|1.000000000|0.438371147|-0.898794046|
|    298|1.000000000|0.469471563|-0.882947593|
|    300|1.000000000|0.500000000|-0.866025404|
|    302|1.000000000|0.529919264|-0.848048096|
|    304|1.000000000|0.559192903|-0.829037573|
|    306|1.000000000|0.587785252|-0.809016994|
|    308|1.000000000|0.615661475|-0.788010754|
|    310|1.000000000|0.642787610|-0.766044443|
|    312|1.000000000|0.669130606|-0.743144825|
|    314|1.000000000|0.694658370|-0.719339800|
|    316|1.000000000|0.719339800|-0.694658370|
|    318|1.000000000|0.743144825|-0.669130606|
|    320|1.000000000|0.766044443|-0.642787610|
|    322|1.000000000|0.788010754|-0.615661475|
|    324|1.000000000|0.809016994|-0.587785252|
|    326|1.000000000|0.829037573|-0.559192903|
|    328|1.000000000|0.848048096|-0.529919264|
|    330|1.000000000|0.866025404|-0.500000000|
|    332|1.000000000|0.882947593|-0.469471563|
|    334|1.000000000|0.898794046|-0.438371147|
|    336|1.000000000|0.913545458|-0.406736643|
|    338|1.000000000|0.927183855|-0.374606593|
|    340|1.000000000|0.939692621|-0.342020143|
|    342|1.000000000|0.951056516|-0.309016994|
|    344|1.000000000|0.961261696|-0.275637356|
|    346|1.000000000|0.970295726|-0.241921896|
|    348|1.000000000|0.978147601|-0.207911691|
|    350|1.000000000|0.984807753|-0.173648178|
|    352|1.000000000|0.990268069|-0.139173101|
|    354|1.000000000|0.994521895|-0.104528463|
|    356|1.000000000|0.997564050|-0.069756474|
|    358|1.000000000|0.999390827|-0.034899497|
|    360|1.000000000|1.000000000|-0.000000000|
